node,product,amount(tonne/week),time
dairy112,p3,187.35000000000002,2
dairy112,p3,126.97363881229293,3
dairy112,p3,66.59727762458586,4
dairy112,p3,137.38750923458585,5
dairy112,p3,65.09949644698338,8
dairy112,p3,70.79023160999999,10
dairy112,p3,45.76953678000004,12
dairy112,p3,116.55976839000003,13
dairy112,p3,187.35000000000002,14
dairy116,p2,382.4834595300001,1
dairy116,p2,474.1500000000001,2
dairy116,p2,227.10538450706144,3
dairy116,p2,91.66654047,5
dairy116,p2,91.66654047,7
dairy116,p2,9.677713161422616,11
dairy116,p2,90.85213764605643,12
dairy116,p3,380.362777269,1
dairy116,p3,474.1500000000001,2
dairy116,p3,297.1744209660002,3
dairy116,p3,326.67035080500017,4
dairy116,p3,356.16628064400015,5
dairy116,p3,385.66221048300014,6
dairy116,p3,415.1581403220001,7
dairy116,p3,444.6540701610001,8
dairy116,p3,474.1500000000001,9
dairy116,p3,278.4821633418396,10
dairy116,p3,29.495929839000006,12
dairy116,p3,58.99185967800001,13
dairy116,p3,88.48778951700001,14
dairy124,p2,1107.73269717,1
dairy124,p2,1327.73239434,2
dairy124,p2,1547.73209151,3
dairy124,p2,500.27737235230666,4
dairy124,p2,720.2770695223066,5
dairy124,p2,940.2767666923066,6
dairy124,p2,1047.4547191576933,7
dairy124,p2,219.99969717,10
dairy124,p2,439.99939434,11
dairy124,p2,219.99969717,13
dairy124,p2,439.99939434,14
dairy124,p2,90.58500000000002,15
dairy124,p3,993.918347415,1
dairy124,p3,1100.10369483,2
dairy124,p3,1170.89392644,3
dairy124,p3,1241.6841580500002,4
dairy124,p3,1312.4743896600003,5
dairy124,p3,685.59862401502,6
dairy124,p3,756.38885562502,7
dairy124,p3,827.17908723502,8
dairy124,p3,70.79023160999999,11
dairy124,p3,70.79023160999999,13
dairy124,p3,90.69246102346449,14
dairy124,p3,90.58500000000002,15
dairy125,p2,1537.81084857,1
dairy125,p2,1647.81069714,2
dairy125,p2,1757.81054571,3
dairy125,p2,1867.81039428,4
dairy125,p2,1977.8102428500001,5
dairy125,p2,2087.81009142,6
dairy125,p2,1068.0925430917534,7
dairy125,p2,574.8154690530885,8
dairy125,p2,684.8153176230885,9
dairy125,p2,794.8151661930885,10
dairy125,p2,816.1473284401038,11
dairy125,p2,926.1471770101039,12
dairy125,p2,786.4219246777634,13
dairy125,p2,35.69515143000005,14
dairy125,p2,145.69500000000005,15
dairy125,p3,1463.20611582,1
dairy125,p3,1498.60123164,2
dairy125,p3,1290.475680705281,3
dairy125,p3,1061.6413349545958,4
dairy125,p3,1097.0364507745958,5
dairy125,p3,1132.4315665945958,6
dairy125,p3,1167.8266824145958,7
dairy125,p3,1203.2217982345958,8
dairy125,p3,35.39511582000001,10
dairy125,p3,70.79023164000002,11
dairy125,p3,106.18534746000003,12
dairy125,p3,141.58046328000003,13
dairy125,p3,110.29988418000005,14
dairy125,p3,145.69500000000005,15
dairy127,p2,3103.5912323999996,1
dairy127,p2,3176.9244647999994,2
dairy127,p2,2773.030294116732,3
dairy127,p2,2846.363526516732,4
dairy127,p2,2049.9436500344978,5
dairy127,p2,1253.5237735522637,6
dairy127,p2,457.1038970700298,7
dairy127,p2,530.4371294700298,8
dairy127,p2,603.7703618700299,9
dairy127,p2,677.1035942700299,10
dairy127,p2,750.43682667003,11
dairy127,p2,89.21030280000005,12
dairy127,p2,162.54353520000006,13
dairy127,p2,235.87676760000008,14
dairy127,p2,309.2100000000001,15
dairy127,p3,3053.8547438699998,1
dairy127,p3,3077.4514877399997,2
dairy127,p3,3101.0482316099997,3
dairy127,p3,3124.6449754799996,4
dairy127,p3,3148.2417193499996,5
dairy127,p3,3171.8384632199995,6
dairy127,p3,3195.4352070899995,7
dairy127,p3,3219.0319509599994,8
dairy127,p3,2058.9153450336125,9
dairy127,p3,898.7987391072259,10
dairy127,p3,214.82302452000005,11
dairy127,p3,238.41976839000006,12
dairy127,p3,262.01651226000007,13
dairy127,p3,285.6132561300001,14
dairy127,p3,309.2100000000001,15
dairy128,p2,73.33323240000001,2
dairy128,p2,146.66646480000003,3
dairy128,p2,219.99969720000004,4
dairy128,p2,73.33323240000001,6
dairy128,p2,146.66646480000003,7
dairy128,p2,73.33323240000001,14
dairy128,p2,100.52250000000004,15
dairy128,p3,1065.349429158,1
dairy128,p3,1145.578358316,2
dairy128,p3,1169.175102186,3
dairy128,p3,1192.771846056,4
dairy128,p3,1216.368589926,5
dairy128,p3,1239.9653337959999,6
dairy128,p3,1263.5620776659998,7
dairy128,p3,1287.1588215359998,8
dairy128,p3,1310.7555654059997,9
dairy128,p3,845.2901723776974,10
dairy128,p3,6.135524520000047,11
dairy128,p3,29.732268390000044,12
dairy128,p3,53.32901226000004,13
dairy128,p3,76.92575613000004,14
dairy128,p3,100.52250000000004,15
dairy129,p2,1095.9769189892058,1
dairy129,p2,1435.7250000000001,2
dairy129,p2,738.2901532020344,3
dairy129,p2,114.18853880406829,4
dairy129,p2,260.8550035740683,5
dairy129,p2,407.5214683440683,6
dairy129,p2,554.1879331140683,7
dairy129,p2,71.78625000000001,15
dairy129,p3,821.4889693649999,1
dairy129,p3,945.5502977699996,2
dairy129,p3,992.7437855099996,3
dairy129,p3,154.02394950557905,4
dairy129,p3,201.21743724557905,5
dairy129,p3,248.41092498557887,6
dairy129,p3,295.60441272557887,7
