# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity|5. Arc length
A00529|NC012|NC090|1.00E+06|281.4236492
A00530|NC012|NC092|1.00E+06|259.9154321
A00531|NC012|NC093|1.00E+06|244.4255208
A00532|NC012|NC095|1.00E+06|98.45554693
A00533|NC012|NC097|1.00E+06|79.58697693
A00534|NC012|NC101|1.00E+06|212.5569435
A00535|NC012|NC105|1.00E+06|229.5840413
A00536|NC012|NC106|1.00E+06|237.3557456
A00537|NC012|NC107|1.00E+06|154.3221341
A00538|NC012|NC109|1.00E+06|135.9028132
A00539|NC012|NC110|1.00E+06|129.2831336
A00540|NC012|NC111|1.00E+06|146.4811037
A00541|NC012|NC115|1.00E+06|36.23709321
A00542|NC012|NC116|1.00E+06|55.73419411
A00543|NC012|NC120|1.00E+06|52.55936028
A00544|NC012|NC121|1.00E+06|47.08575558
A00545|NC012|NC128|1.00E+06|251.3071981
A00546|NC012|NC130|1.00E+06|236.9500016
A00547|NC012|NC132|1.00E+06|134.7405104
A00548|NC012|NC133|1.00E+06|124.2929297
